,年月日,節,大会,H_Team,スコア,A_Team,スタジアム
0,19970308,１,ＹＮＣ 予選Ｂグループ,Ｇ大阪,3-3,札幌,万博
1,19970315,２,ＹＮＣ 予選Ｂグループ,札幌,2-2,Ｖ川崎,長崎
2,19970319,３,ＹＮＣ 予選Ｂグループ,横浜M,1-3,札幌,三ツ沢
3,19970322,４,ＹＮＣ 予選Ｂグループ,Ｖ川崎,2-2,札幌,等々力
4,19970326,５,ＹＮＣ 予選Ｂグループ,札幌,1-2,横浜M,長良川
5,19970329,６,ＹＮＣ 予選Ｂグループ,札幌,1-0,Ｇ大阪,水前寺
6,19971015,0,ＹＮＣ 決勝トーナメント,札幌,1-2,鹿島,札幌
7,19971018,0,ＹＮＣ 決勝トーナメント,鹿島,7-0,札幌,カシマ
8,19980321,１,Ｊ１ １ｓｔ,清水,4-1,札幌,日本平
9,19980325,２,Ｊ１ １ｓｔ,札幌,1-3,鹿島,仙台
10,19980328,３,Ｊ１ １ｓｔ,柏,1-1(PK5-4),札幌,柏
11,19980404,４,Ｊ１ １ｓｔ,札幌,1-0,Ｇ大阪,室蘭
12,19980411,５,Ｊ１ １ｓｔ,横浜M,4-0,札幌,三ツ沢
13,19980415,６,Ｊ１ １ｓｔ,札幌,2-0,浦和,仙台
14,19980418,７,Ｊ１ １ｓｔ,名古屋,2-1,札幌,瑞穂陸
15,19980425,８,Ｊ１ １ｓｔ,札幌,3-3(PK4-5),平塚,室蘭
16,19980429,９,Ｊ１ １ｓｔ,磐田,4-0,札幌,磐田
17,19980502,１０,Ｊ１ １ｓｔ,札幌,1-3,Ｖ川崎,室蘭
18,19980505,１１,Ｊ１ １ｓｔ,神戸,2-3,札幌,神戸ユ
19,19980509,１２,Ｊ１ １ｓｔ,札幌,3-2,市原,室蘭
20,19980516,１,ＹＮＣ 予選Ｃグループ,清水,2-0,札幌,日本平
21,19980523,２,ＹＮＣ 予選Ｃグループ,Ｇ大阪,5-2,札幌,万博
22,19980530,３,ＹＮＣ 予選Ｃグループ,札幌,3-2,横浜Ｆ,室蘭
23,19980606,５,ＹＮＣ 予選Ｃグループ,札幌,0-2,川崎Ｆ,室蘭
24,19980725,１３,Ｊ１ １ｓｔ,横浜Ｆ,2-2(PK5-3),札幌,三ツ沢
25,19980729,１４,Ｊ１ １ｓｔ,札幌,3-4,Ｃ大阪,札幌
26,19980801,１５,Ｊ１ １ｓｔ,広島,4-3,札幌,広島ス
27,19980805,１６,Ｊ１ １ｓｔ,札幌,1-2,福岡,札幌
28,19980808,１７,Ｊ１ １ｓｔ,京都,4-2,札幌,西京極
29,19980822,１,Ｊ１ ２ｎｄ,Ｃ大阪,1-3,札幌,長居
30,19980829,２,Ｊ１ ２ｎｄ,札幌,2-0,広島,札幌
31,19980905,３,Ｊ１ ２ｎｄ,福岡,1-0,札幌,博多球
32,19980912,４,Ｊ１ ２ｎｄ,札幌,2-0,京都,札幌
33,19980915,５,Ｊ１ ２ｎｄ,札幌,1-2,清水,札幌
34,19980919,６,Ｊ１ ２ｎｄ,鹿島,3-2,札幌,カシマ
35,19980923,７,Ｊ１ ２ｎｄ,札幌,3-2,柏,札幌
36,19980926,８,Ｊ１ ２ｎｄ,Ｇ大阪,1-0,札幌,万博
37,19981003,９,Ｊ１ ２ｎｄ,札幌,0-2,横浜M,札幌
38,19981014,１０,Ｊ１ ２ｎｄ,浦和,2-1,札幌,駒場
39,19981017,１１,Ｊ１ ２ｎｄ,札幌,3-2,名古屋,札幌
40,19981021,１２,Ｊ１ ２ｎｄ,平塚,2-2(PK4-3),札幌,平塚
41,19981024,１３,Ｊ１ ２ｎｄ,札幌,1-6,磐田,札幌
42,19981031,１４,Ｊ１ ２ｎｄ,Ｖ川崎,1-2,札幌,等々力
43,19981103,１５,Ｊ１ ２ｎｄ,札幌,3-0,神戸,札幌
44,19981107,１６,Ｊ１ ２ｎｄ,市原,1-3,札幌,市原
45,19981114,１７,Ｊ１ ２ｎｄ,札幌,1-4,横浜Ｆ,札幌
46,19981122,２,Ｊ１参入,神戸,2-1,札幌,神戸ユ
47,19981126,３,Ｊ１参入,札幌,0-2,神戸,室蘭
48,19981202,４,Ｊ１参入,福岡,1-0,札幌,博多球
49,19981205,５,Ｊ１参入,札幌,0-3,福岡,室蘭
50,19990314,１,Ｊ２,大分,1-0,札幌,大分
51,19990321,２,Ｊ２,大宮,1-2,札幌,大宮
52,19990328,３,Ｊ２,札幌,2-3,鳥栖,室蘭
53,19990404,４,Ｊ２,仙台,1-1,札幌,仙台
54,19990407,0,ＹＮＣ,札幌,1-0,福岡,室蘭
55,19990411,５,Ｊ２,札幌,0-1,新潟,室蘭
56,19990414,0,ＹＮＣ,福岡,3-0,札幌,博多球
57,19990418,６,Ｊ２,川崎Ｆ,2-0,札幌,等々力
58,19990425,７,Ｊ２,札幌,3-2,山形,室蘭
59,19990429,８,Ｊ２,Ｆ東京,2-1,札幌,西が丘
60,19990502,９,Ｊ２,札幌,6-0,甲府,札幌
61,19990505,１０,Ｊ２,札幌,1-0,大宮,札幌
62,19990509,１１,Ｊ２,鳥栖,2-2,札幌,鳥栖
63,19990516,１２,Ｊ２,札幌,3-0,仙台,札幌
64,19990522,１３,Ｊ２,新潟,0-1,札幌,新潟
65,19990529,１４,Ｊ２,札幌,1-1,川崎Ｆ,札幌
66,19990627,１５,Ｊ２,山形,1-1,札幌,山形県
67,19990704,１６,Ｊ２,札幌,0-1,Ｆ東京,札幌
68,19990709,１７,Ｊ２,甲府,1-1,札幌,小瀬
69,19990717,１８,Ｊ２,札幌,1-0,大分,札幌
70,19990801,１９,Ｊ２,札幌,2-0,仙台,札幌
71,19990807,２０,Ｊ２,新潟,1-1,札幌,新潟
72,19990815,２１,Ｊ２,札幌,3-2,大分,札幌
73,19990823,２２,Ｊ２,山形,1-4,札幌,山形県
74,19990829,２３,Ｊ２,札幌,4-1,Ｆ東京,札幌
75,19990905,２４,Ｊ２,鳥栖,0-1,札幌,鳥栖
76,19990910,２５,Ｊ２,川崎Ｆ,2-0,札幌,等々力
77,19990915,２６,Ｊ２,札幌,4-0,甲府,札幌
78,19990919,２７,Ｊ２,大宮,1-0,札幌,大宮
79,19990926,２８,Ｊ２,札幌,1-2,新潟,札幌
80,19991002,２９,Ｊ２,大分,2-0,札幌,大分
81,19991011,３０,Ｊ２,札幌,2-0,山形,札幌
82,19991017,３１,Ｊ２,Ｆ東京,0-1,札幌,江戸川
83,19991024,３２,Ｊ２,札幌,1-0,鳥栖,札幌
84,19991031,３３,Ｊ２,札幌,1-2,川崎Ｆ,札幌
85,19991106,３４,Ｊ２,甲府,0-3,札幌,小瀬
86,19991114,３５,Ｊ２,札幌,0-1,大宮,札幌
87,19991121,３６,Ｊ２,仙台,1-0,札幌,仙台
88,20000312,１,Ｊ２,鳥栖,0-4,札幌,鳥栖
89,20000320,２,Ｊ２,甲府,0-3,札幌,小瀬
90,20000330,４,Ｊ２,札幌,3-0,新潟,室蘭
91,20000402,５,Ｊ２,仙台,1-2,札幌,仙台
92,20000415,７,Ｊ２,大分,0-0,札幌,大分
93,20000419,0,ＹＮＣ,Ｇ大阪,2-1,札幌,万博
94,20000423,８,Ｊ２,札幌,0-2,山形,函館
95,20000430,９,Ｊ２,水戸,0-2,札幌,ひたちな
96,20000504,１０,Ｊ２,札幌,2-1,湘南,札幌
97,20000508,１１,Ｊ２,大宮,0-2,札幌,大宮
98,20000514,１２,Ｊ２,札幌,2-0,鳥栖,札幌
99,20000518,１３,Ｊ２,札幌,2-1,甲府,札幌
100,20000524,0,ＹＮＣ,札幌,0-1,Ｇ大阪,札幌
101,20000527,１５,Ｊ２,新潟,0-1,札幌,新潟
102,20000601,１６,Ｊ２,札幌,3-1,仙台,札幌
103,20000604,１７,Ｊ２,浦和,0-1,札幌,駒場
104,20000610,１８,Ｊ２,札幌,2-1,大分,札幌
105,20000617,１９,Ｊ２,山形,0-1,札幌,山形県
106,20000621,２０,Ｊ２,札幌,3-0,水戸,札幌
107,20000625,２１,Ｊ２,湘南,1-2,札幌,平塚
108,20000702,２２,Ｊ２,札幌,2-1,大宮,札幌
109,20000709,２３,Ｊ２,札幌,2-1,新潟,札幌
110,20000716,６,Ｊ２,札幌,1-1,浦和,室蘭
111,20000722,２４,Ｊ２,仙台,0-2,札幌,仙台
112,20000729,２５,Ｊ２,札幌,2-1,浦和,札幌
113,20000802,２６,Ｊ２,大分,1-0,札幌,大分
114,20000805,２７,Ｊ２,札幌,1-0,山形,札幌
115,20000812,２８,Ｊ２,水戸,0-2,札幌,ひたちな
116,20000819,２９,Ｊ２,札幌,1-1,湘南,札幌
117,20000826,３０,Ｊ２,大宮,0-2,札幌,大宮
118,20000903,３１,Ｊ２,札幌,1-2,鳥栖,札幌
119,20000911,３２,Ｊ２,甲府,0-2,札幌,小瀬
120,20000924,３４,Ｊ２,札幌,1-0,仙台,札幌
121,20000928,３５,Ｊ２,浦和,1-2,札幌,駒場
122,20001001,３６,Ｊ２,札幌,2-1,大分,札幌
123,20001008,３７,Ｊ２,山形,0-0,札幌,山形県
124,20001015,３８,Ｊ２,札幌,5-0,水戸,札幌
125,20001021,３９,Ｊ２,湘南,0-3,札幌,平塚
126,20001029,４０,Ｊ２,札幌,2-0,大宮,札幌
127,20001105,４１,Ｊ２,鳥栖,2-0,札幌,鳥栖
128,20001112,４２,Ｊ２,札幌,1-1,甲府,札幌
129,20001119,４４,Ｊ２,新潟,1-2,札幌,新潟
130,20010310,１,Ｊ１ １ｓｔ,Ｃ大阪,1-2,札幌,長居
131,20010317,２,Ｊ１ １ｓｔ,札幌,2-1,柏,高知陸
132,20010331,３,Ｊ１ １ｓｔ,広島,1-0,札幌,広島ビ
133,20010404,0,ＹＮＣ,大分,2-0,札幌,大分陸
134,20010407,４,Ｊ１ １ｓｔ,札幌,2-0,東京Ｖ,室蘭
135,20010414,５,Ｊ１ １ｓｔ,神戸,0-0,札幌,神戸ユ
136,20010418,0,ＹＮＣ,札幌,2-1,大分,室蘭
137,20010429,６,Ｊ１ １ｓｔ,札幌,1-0,Ｇ大阪,函館
138,20010503,７,Ｊ１ １ｓｔ,清水,5-2,札幌,日本平
139,20010506,８,Ｊ１ １ｓｔ,Ｆ東京,2-1,札幌,丸亀
140,20010512,９,Ｊ１ １ｓｔ,札幌,2-1,鹿島,札幌厚別
141,20010519,１０,Ｊ１ １ｓｔ,磐田,2-1,札幌,磐田
142,20010616,１１,Ｊ１ １ｓｔ,札幌,2-2,名古屋,札幌厚別
143,20010623,１２,Ｊ１ １ｓｔ,浦和,2-0,札幌,駒場
144,20010707,１３,Ｊ１ １ｓｔ,札幌,2-3,市原,札幌厚別
145,20010714,１４,Ｊ１ １ｓｔ,福岡,0-2,札幌,博多球
146,20010721,１５,Ｊ１ １ｓｔ,札幌,1-1,横浜FM,札幌ド
147,20010811,１,Ｊ１ ２ｎｄ,鹿島,2-1,札幌,カシマ
148,20010818,２,Ｊ１ ２ｎｄ,札幌,2-5,Ｆ東京,札幌ド
149,20010825,３,Ｊ１ ２ｎｄ,横浜FM,3-2,札幌,横浜国
150,20010908,４,Ｊ１ ２ｎｄ,札幌,3-4,福岡,札幌厚別
151,20010915,５,Ｊ１ ２ｎｄ,札幌,3-2,清水,札幌ド
152,20010922,６,Ｊ１ ２ｎｄ,Ｇ大阪,0-0,札幌,万博
153,20010929,７,Ｊ１ ２ｎｄ,札幌,5-2,神戸,札幌厚別
154,20011013,８,Ｊ１ ２ｎｄ,東京Ｖ,0-1,札幌,東京
155,20011017,９,Ｊ１ ２ｎｄ,札幌,4-2,広島,札幌厚別
156,20011020,１０,Ｊ１ ２ｎｄ,札幌,1-2,磐田,札幌厚別
157,20011031,１１,Ｊ１ ２ｎｄ,名古屋,2-0,札幌,瑞穂陸
158,20011103,１２,Ｊ１ ２ｎｄ,札幌,1-1,浦和,札幌ド
159,20011110,１３,Ｊ１ ２ｎｄ,市原,2-0,札幌,市原
160,20011117,１４,Ｊ１ ２ｎｄ,柏,1-0,札幌,柏
161,20011124,１５,Ｊ１ ２ｎｄ,札幌,0-1,Ｃ大阪,札幌ド
162,20020303,１,Ｊ１ １ｓｔ,広島,5-1,札幌,広島ビ
163,20020309,２,Ｊ１ １ｓｔ,札幌,0-1,仙台,高知陸
164,20020317,３,Ｊ１ １ｓｔ,磐田,4-0,札幌,磐田
165,20020331,４,Ｊ１ １ｓｔ,名古屋,0-3,札幌,瑞穂陸
166,20020406,５,Ｊ１ １ｓｔ,柏,4-1,札幌,柏
167,20020413,６,Ｊ１ １ｓｔ,札幌,1-2,京都,室蘭
168,20020420,７,Ｊ１ １ｓｔ,札幌,1-3,鹿島,函館
169,20020427,１,ＹＮＣ 予選Ａグループ,柏,1-0,札幌,柏の葉
170,20020430,２,ＹＮＣ 予選Ａグループ,札幌,0-0,磐田,札幌厚別
171,20020503,３,ＹＮＣ 予選Ａグループ,仙台,1-0,札幌,仙台
172,20020506,４,ＹＮＣ 予選Ａグループ,札幌,1-1,仙台,函館
173,20020509,５,ＹＮＣ 予選Ａグループ,磐田,3-1,札幌,磐田
174,20020512,６,ＹＮＣ 予選Ａグループ,札幌,1-0,柏,室蘭
175,20020713,８,Ｊ１ １ｓｔ,神戸,1-0,札幌,神戸ユ
176,20020720,９,Ｊ１ １ｓｔ,浦和,2-1,札幌,国立
177,20020724,１０,Ｊ１ １ｓｔ,札幌,2-3,横浜FM,札幌ド
178,20020728,１１,Ｊ１ １ｓｔ,Ｆ東京,3-1,札幌,国立
179,20020803,１２,Ｊ１ １ｓｔ,札幌,2-3,清水,札幌ド
180,20020807,１３,Ｊ１ １ｓｔ,市原,2-0,札幌,市原
181,20020810,１４,Ｊ１ １ｓｔ,札幌,1-0,Ｇ大阪,札幌厚別
182,20020817,１５,Ｊ１ １ｓｔ,札幌,1-2,東京Ｖ,札幌ド
183,20020831,１,Ｊ１ ２ｎｄ,札幌,2-2,柏,札幌厚別
184,20020907,２,Ｊ１ ２ｎｄ,京都,1-0,札幌,西京極
185,20020915,３,Ｊ１ ２ｎｄ,札幌,1-2,神戸,札幌ド
186,20020918,４,Ｊ１ ２ｎｄ,横浜FM,1-0,札幌,横浜国
187,20020921,５,Ｊ１ ２ｎｄ,札幌,1-2,浦和,札幌ド
188,20020929,６,Ｊ１ ２ｎｄ,札幌,0-1,磐田,札幌ド
189,20021005,７,Ｊ１ ２ｎｄ,清水,3-0,札幌,日本平
190,20021012,８,Ｊ１ ２ｎｄ,札幌,0-4,Ｆ東京,札幌厚別
191,20021019,９,Ｊ１ ２ｎｄ,Ｇ大阪,1-0,札幌,万博
192,20021023,１０,Ｊ１ ２ｎｄ,札幌,1-0,市原,札幌ド
193,20021027,１１,Ｊ１ ２ｎｄ,鹿島,3-2,札幌,カシマ
194,20021109,１２,Ｊ１ ２ｎｄ,東京Ｖ,3-2,札幌,東京
195,20021117,１３,Ｊ１ ２ｎｄ,札幌,1-0,名古屋,札幌ド
196,20021123,１４,Ｊ１ ２ｎｄ,仙台,2-0,札幌,仙台
197,20021130,１５,Ｊ１ ２ｎｄ,札幌,5-4,広島,札幌ド
198,20030315,１,Ｊ２,札幌,1-3,横浜FC,札幌ド
199,20030322,２,Ｊ２,山形,2-3,札幌,山形県
200,20030329,３,Ｊ２,札幌,2-4,水戸,札幌ド
201,20030405,４,Ｊ２,新潟,0-1,札幌,新潟陸
202,20030406,0,サテライトリーグ Ａグループ,鹿島,2-2,札幌,鹿島Ｇ
203,20030409,５,Ｊ２,大宮,1-1,札幌,大宮
204,20030412,６,Ｊ２,札幌,5-0,福岡,室蘭
205,20030413,0,サテライトリーグ Ａグループ,東京Ｖ,1-1,札幌,ヴェルＧ
206,20030419,７,Ｊ２,甲府,2-1,札幌,小瀬
207,20030426,８,Ｊ２,札幌,0-2,広島,札幌ド
208,20030429,９,Ｊ２,鳥栖,1-0,札幌,鳥栖
209,20030505,１０,Ｊ２,札幌,0-0,川崎Ｆ,札幌厚別
210,20030510,１１,Ｊ２,湘南,0-2,札幌,平塚
211,20030511,0,サテライトリーグ Ａグループ,仙台,1-1,札幌,仙台
212,20030514,１２,Ｊ２,横浜FC,0-0,札幌,三ツ沢
213,20030517,１３,Ｊ２,札幌,1-0,山形,札幌厚別
214,20030518,0,サテライトリーグ Ａグループ,札幌,0-4,Ｆ東京,宮の沢
215,20030524,１４,Ｊ２,水戸,1-1,札幌,水戸
216,20030525,0,サテライトリーグ Ａグループ,札幌,1-0,東京Ｖ,宮の沢
217,20030531,１５,Ｊ２,札幌,2-0,新潟,札幌ド
218,20030601,0,サテライトリーグ Ａグループ,札幌,1-2,大宮,宮の沢
219,20030606,１６,Ｊ２,川崎Ｆ,1-0,札幌,等々力
220,20030614,１７,Ｊ２,札幌,1-1,湘南,札幌厚別
221,20030618,１８,Ｊ２,広島,1-1,札幌,広島ス
222,20030621,１９,Ｊ２,札幌,3-3,甲府,札幌ド
223,20030628,２０,Ｊ２,福岡,0-0,札幌,博多球
224,20030702,２１,Ｊ２,札幌,6-2,大宮,札幌ド
225,20030705,２２,Ｊ２,札幌,3-0,鳥栖,札幌厚別
226,20030719,２３,Ｊ２,湘南,0-2,札幌,平塚
227,20030721,0,サテライトリーグ Ａグループ,浦和,1-1,札幌,埼玉２
228,20030726,２４,Ｊ２,山形,2-1,札幌,山形県
229,20030730,２５,Ｊ２,札幌,2-2,横浜FC,札幌厚別
230,20030802,２６,Ｊ２,新潟,5-1,札幌,新潟ス
231,20030803,0,サテライトリーグ Ａグループ,札幌,5-1,仙台,宮の沢
232,20030810,２７,Ｊ２,札幌,1-1,川崎Ｆ,札幌ド
233,20030816,２８,Ｊ２,甲府,1-1,札幌,小瀬
234,20030817,0,サテライトリーグ Ａグループ,大宮,2-2,札幌,埼玉２
235,20030823,２９,Ｊ２,札幌,1-2,福岡,函館
236,20030830,３０,Ｊ２,大宮,3-0,札幌,大宮
237,20030903,３１,Ｊ２,札幌,1-2,広島,札幌厚別
238,20030906,３２,Ｊ２,鳥栖,0-1,札幌,鳥栖
239,20030913,３３,Ｊ２,札幌,1-0,水戸,札幌厚別
240,20030914,0,サテライトリーグ Ａグループ,札幌,0-3,浦和,宮の沢
241,20030920,３４,Ｊ２,札幌,0-2,甲府,札幌厚別
242,20030923,３５,Ｊ２,福岡,1-0,札幌,博多球
243,20030927,３６,Ｊ２,札幌,1-2,湘南,札幌ド
244,20030928,0,サテライトリーグ Ａグループ,札幌,1-1,鹿島,宮の沢
245,20031004,３７,Ｊ２,広島,1-0,札幌,広島ビ
246,20031011,３８,Ｊ２,札幌,4-1,鳥栖,札幌厚別
247,20031012,0,サテライトリーグ Ａグループ,Ｆ東京,0-1,札幌,小平Ｇ
248,20031018,３９,Ｊ２,川崎Ｆ,1-0,札幌,等々力
249,20031025,４０,Ｊ２,札幌,0-1,大宮,室蘭
250,20031101,４１,Ｊ２,札幌,2-2,新潟,札幌厚別
251,20031109,４２,Ｊ２,水戸,0-0,札幌,笠松
252,20031116,４３,Ｊ２,札幌,4-1,山形,札幌ド
253,20031123,４４,Ｊ２,横浜FC,2-0,札幌,横浜国
254,20040313,１,Ｊ２,札幌,2-2,甲府,札幌ド
255,20040320,２,Ｊ２,大宮,0-0,札幌,埼玉
256,20040327,３,Ｊ２,札幌,1-0,仙台,札幌ド
257,20040403,４,Ｊ２,湘南,1-1,札幌,平塚
258,20040404,0,サテライトリーグ Ａグループ,札幌,0-2,東京Ｖ,宮の沢
259,20040410,５,Ｊ２,札幌,0-1,山形,室蘭
260,20040411,0,サテライトリーグ Ａグループ,鹿島,1-0,札幌,成田
261,20040417,６,Ｊ２,札幌,1-1,横浜FC,札幌ド
262,20040418,0,サテライトリーグ Ａグループ,柏,2-0,札幌,柏
263,20040425,７,Ｊ２,水戸,2-1,札幌,笠松
264,20040429,８,Ｊ２,京都,2-0,札幌,西京極
265,20040502,９,Ｊ２,札幌,1-2,福岡,札幌厚別
266,20040505,１０,Ｊ２,札幌,0-2,川崎Ｆ,札幌厚別
267,20040509,１１,Ｊ２,鳥栖,2-1,札幌,鳥栖
268,20040515,１２,Ｊ２,横浜FC,2-1,札幌,三ツ沢
269,20040519,１３,Ｊ２,札幌,1-2,水戸,札幌厚別
270,20040522,１４,Ｊ２,山形,2-1,札幌,山形県
271,20040529,１５,Ｊ２,札幌,1-1,湘南,札幌ド
272,20040530,0,サテライトリーグ Ａグループ,札幌,2-1,横浜FM,宮の沢
273,20040605,１６,Ｊ２,仙台,1-1,札幌,仙台
274,20040606,0,サテライトリーグ Ａグループ,横浜FM,1-1,札幌,戸塚Ｇ
275,20040612,１７,Ｊ２,札幌,1-2,大宮,札幌厚別
276,20040619,１８,Ｊ２,甲府,2-1,札幌,小瀬
277,20040623,１９,Ｊ２,川崎Ｆ,6-0,札幌,等々力
278,20040627,２０,Ｊ２,札幌,1-2,鳥栖,札幌厚別
279,20040704,２１,Ｊ２,札幌,0-2,京都,函館
280,20040710,２２,Ｊ２,福岡,0-1,札幌,博多球
281,20040718,0,サテライトリーグ Ａグループ,札幌,1-1,柏,宮の沢
282,20040724,２３,Ｊ２,札幌,0-0,横浜FC,札幌ド
283,20040727,２４,Ｊ２,水戸,1-1,札幌,笠松
284,20040731,２５,Ｊ２,札幌,1-2,山形,札幌厚別
285,20040808,２６,Ｊ２,湘南,1-1,札幌,平塚
286,20040811,２７,Ｊ２,札幌,1-3,川崎Ｆ,札幌厚別
287,20040814,２８,Ｊ２,鳥栖,0-1,札幌,鳥栖
288,20040815,0,サテライトリーグ Ａグループ,札幌,2-2,鹿島,宮の沢
289,20040821,２９,Ｊ２,京都,4-2,札幌,西京極
290,20040825,３０,Ｊ２,札幌,0-2,福岡,札幌厚別
291,20040829,３１,Ｊ２,札幌,0-2,甲府,札幌厚別
292,20040904,３２,Ｊ２,大宮,1-0,札幌,大宮
293,20040911,３３,Ｊ２,札幌,1-0,仙台,札幌ド
294,20040912,0,サテライトリーグ Ａグループ,東京Ｖ,5-0,札幌,ヴェルＧ
295,20040918,３４,Ｊ２,山形,1-0,札幌,山形県
296,20040923,３５,Ｊ２,札幌,2-1,水戸,札幌厚別
297,20040926,３６,Ｊ２,横浜FC,1-1,札幌,夢の島
298,20041002,３７,Ｊ２,札幌,0-0,京都,札幌厚別
299,20041016,３８,Ｊ２,福岡,1-0,札幌,博多球
300,20041023,３９,Ｊ２,札幌,0-0,湘南,札幌厚別
301,20041030,４０,Ｊ２,仙台,1-1,札幌,仙台
302,20041106,４１,Ｊ２,札幌,1-1,鳥栖,札幌ド
303,20041120,４２,Ｊ２,川崎Ｆ,2-0,札幌,等々力
304,20041123,４３,Ｊ２,札幌,0-1,大宮,札幌ド
305,20041127,４４,Ｊ２,甲府,0-0,札幌,小瀬
306,20050305,１,Ｊ２,甲府,2-2,札幌,小瀬
307,20050306,0,サテライトリーグ Ａグループ,大宮,1-2,札幌,大宮
308,20050313,２,Ｊ２,札幌,0-1,鳥栖,札幌ド
309,20050319,３,Ｊ２,草津,1-4,札幌,群馬サ
310,20050320,0,サテライトリーグ Ａグループ,千葉,5-1,札幌,市原
311,20050326,４,Ｊ２,札幌,0-3,仙台,札幌ド
312,20050403,５,Ｊ２,水戸,2-0,札幌,笠松
313,20050409,６,Ｊ２,札幌,0-0,湘南,札幌ド
314,20050410,0,サテライトリーグ Ａグループ,柏,1-2,札幌,柏の葉
315,20050416,７,Ｊ２,京都,0-0,札幌,鴨池
316,20050423,８,Ｊ２,札幌,1-1,福岡,札幌ド
317,20050430,９,Ｊ２,徳島,1-1,札幌,鳴門
318,20050504,１０,Ｊ２,札幌,1-0,横浜FC,札幌ド
319,20050507,１１,Ｊ２,山形,3-0,札幌,山形県
320,20050514,１２,Ｊ２,札幌,2-0,水戸,札幌厚別
321,20050515,0,サテライトリーグ Ａグループ,札幌,0-2,柏,室蘭
322,20050521,１３,Ｊ２,湘南,0-3,札幌,平塚
323,20050528,１４,Ｊ２,札幌,3-1,草津,札幌厚別
324,20050604,１５,Ｊ２,仙台,4-0,札幌,仙台
325,20050605,0,サテライトリーグ Ａグループ,札幌,0-1,Ｆ東京,室蘭
326,20050611,１６,Ｊ２,札幌,0-0,徳島,札幌ド
327,20050612,0,サテライトリーグ Ａグループ,札幌,2-2,千葉,札幌ドＳ
328,20050618,１７,Ｊ２,福岡,0-3,札幌,博多球
329,20050625,１８,Ｊ２,横浜FC,1-2,札幌,日産ス
330,20050626,0,サテライトリーグ Ａグループ,横浜FM,2-1,札幌,戸塚Ｇ
331,20050702,１９,Ｊ２,札幌,0-2,山形,札幌厚別
332,20050709,２０,Ｊ２,札幌,3-1,甲府,札幌厚別
333,20050713,２１,Ｊ２,鳥栖,0-1,札幌,鳥栖
334,20050716,２２,Ｊ２,札幌,0-1,京都,室蘭
335,20050730,２３,Ｊ２,徳島,1-1,札幌,鳴門
336,20050802,２４,Ｊ２,札幌,1-2,横浜FC,札幌ド
337,20050806,２５,Ｊ２,草津,1-2,札幌,群馬陸
338,20050813,２６,Ｊ２,札幌,2-1,仙台,札幌厚別
339,20050826,２８,Ｊ２,水戸,1-0,札幌,笠松
340,20050831,２９,Ｊ２,札幌,2-0,湘南,札幌ド
341,20050904,３０,Ｊ２,甲府,0-1,札幌,小瀬
342,20050910,３１,Ｊ２,札幌,0-3,鳥栖,札幌厚別
343,20050914,２７,Ｊ２,山形,1-0,札幌,山形県
344,20050918,３２,Ｊ２,札幌,1-3,福岡,札幌厚別
345,20050924,３３,Ｊ２,京都,4-0,札幌,西京極
346,20050925,0,サテライトリーグ Ａグループ,札幌,1-6,大宮,札幌ドＳ
347,20051001,３４,Ｊ２,札幌,2-0,徳島,札幌厚別
348,20051005,３５,Ｊ２,横浜FC,1-1,札幌,西が丘
349,20051015,３６,Ｊ２,湘南,0-0,札幌,平塚
350,20051022,３７,Ｊ２,札幌,3-1,山形,函館
351,20051023,0,サテライトリーグ Ａグループ,Ｆ東京,3-3,札幌,夢の島
352,20051029,３８,Ｊ２,仙台,2-2,札幌,仙台
353,20051030,0,サテライトリーグ Ａグループ,札幌,1-4,横浜FM,宮の沢
354,20051106,３９,Ｊ２,札幌,1-1,水戸,札幌ド
355,20051113,４０,Ｊ２,福岡,3-0,札幌,博多球
356,20051119,４１,Ｊ２,札幌,3-3,京都,札幌ド
357,20051123,４２,Ｊ２,札幌,2-4,甲府,札幌ド
358,20051126,４３,Ｊ２,鳥栖,0-2,札幌,鳥栖
359,20051203,４４,Ｊ２,札幌,2-1,草津,札幌ド
360,20060304,１,Ｊ２,鳥栖,0-1,札幌,鳥栖
361,20060311,２,Ｊ２,札幌,0-1,水戸,札幌ド
362,20060318,３,Ｊ２,山形,0-1,札幌,山形県
363,20060321,４,Ｊ２,愛媛,2-1,札幌,愛媛陸
364,20060325,５,Ｊ２,札幌,0-1,横浜FC,室蘭
365,20060326,0,サテライトリーグ Ａグループ,仙台,0-1,札幌,ユアスタ
366,20060405,７,Ｊ２,札幌,3-0,草津,札幌ド
367,20060408,８,Ｊ２,神戸,1-2,札幌,神戸ウイ
368,20060409,0,サテライトリーグ Ａグループ,大宮,2-0,札幌,鴻巣
369,20060415,９,Ｊ２,札幌,4-1,湘南,札幌ド
370,20060418,１０,Ｊ２,徳島,0-0,札幌,鳴門
371,20060422,１１,Ｊ２,札幌,1-2,柏,函館
372,20060429,１２,Ｊ２,東京Ｖ,2-0,札幌,西が丘
373,20060503,１３,Ｊ２,札幌,1-1,仙台,札幌厚別
374,20060506,１４,Ｊ２,水戸,3-1,札幌,笠松
375,20060514,１５,Ｊ２,札幌,1-6,神戸,札幌厚別
376,20060517,１６,Ｊ２,札幌,2-2,鳥栖,札幌ド
377,20060527,１８,Ｊ２,柏,2-1,札幌,柏
